#Freq	DriftRate	UncDriftRate
1.569514765749999924e+03 -9.809693202673022938e+01 9.718829957154383692e+00
1.371841672571428489e+03 -4.009333001452436207e+01 3.930048633523536061e+00
1.538200940250000031e+03 -1.183701121551094531e+02 1.665583955759397439e+00
1.540602772749999986e+03 -1.012381896536597310e+02 1.509112011868409553e+01
1.485530647333333036e+03 -4.215098500529327907e+01 1.139097626388585738e+01
1.487184369249999918e+03 -2.373608057434985241e+01 3.537627083486390323e+00
1.588358723333333501e+03 -1.258589021801595642e+01 1.309710818825251799e+01
2.010667783333333546e+03 -1.333395120369076210e+02 2.797423233126724895e+01
2.032890609249999898e+03 -2.059440386258444562e+02 2.639696136552497663e+01
6.576452690750000329e+03 -7.662235111132719112e+02 7.303488496910594563e+01
